Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Month_Name,Day,Day_of_Week
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,2019-02-07,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2,2019,2,February,7,Thursday
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7,2019,3,March,29,Friday
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5,2019,1,January,15,Tuesday
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6,2019,3,March,11,Monday
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9,2019,1,January,1,Tuesday
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6,2019,1,January,21,Monday
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,3:30:00 PM,Ewallet,80.6,4.761904762,4.03,4.4,2019,3,March,11,Monday
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8,2019,2,February,25,Monday
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1,2019,3,March,5,Tuesday
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00 PM,Credit card,66.4,4.761904762,3.32,4.4,2019,3,March,15,Friday
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9,2019,2,February,17,Sunday
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6.0,2019,3,March,2,Saturday
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5,2019,3,March,22,Friday
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7,2019,2,February,8,Friday
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7,2019,3,March,10,Sunday
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6,2019,1,January,25,Friday
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4,2019,3,March,15,Friday
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8,2019,2,February,25,Monday
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5,2019,1,January,28,Monday
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1,2019,1,January,10,Thursday
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1,2019,3,March,15,Friday
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5,2019,2,February,6,Wednesday
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00 PM,Ewallet,68.12,4.761904762,3.406,6.8,2019,1,January,7,Monday
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,2019-03-10,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7.0,2019,3,March,10,Sunday
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7,2019,1,January,15,Tuesday
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6,2019,3,March,23,Saturday
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7,2019,3,March,3,Sunday
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,6:45:00 PM,Ewallet,86.72,4.761904762,4.336,7.9,2019,1,January,17,Thursday
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3,2019,2,February,2,Saturday
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6,2019,2,February,8,Friday
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6,2019,3,March,4,Monday
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,2019-03-16,7:47:00 PM,Cash,30.74,4.761904762,1.537,7.2,2019,3,March,16,Saturday
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5,2019,3,March,9,Saturday
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4,2019,2,February,27,Wednesday
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1,2019,2,February,6,Wednesday
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1,2019,2,February,10,Sunday
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9,2019,3,March,19,Tuesday
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5,2019,2,February,3,Sunday
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5,2019,2,February,10,Sunday
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5,2019,3,March,22,Friday
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,3:46:00 PM,Credit card,15.43,4.761904762,0.7715,6.1,2019,1,January,25,Friday
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00 AM,Ewallet,32.32,4.761904762,1.616,6.5,2019,3,March,7,Thursday
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2,2019,2,February,28,Thursday
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8,2019,3,March,27,Wednesday
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6,2019,2,February,7,Thursday
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4,2019,1,January,20,Sunday
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3,2019,3,March,12,Tuesday
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,5:47:00 PM,Credit card,74.22,4.761904762,3.711,10.0,2019,2,February,15,Friday
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7.0,2019,2,February,24,Sunday
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10.0,2019,2,February,3,Sunday
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6,2019,3,March,6,Wednesday
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,2019-02-14,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6,2019,2,February,14,Thursday
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,2019-03-13,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8,2019,3,March,13,Wednesday
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7,2019,2,February,10,Sunday
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9,2019,1,January,7,Monday
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4,2019,1,January,24,Thursday
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,6:50:00 PM,Cash,18.33,4.761904762,0.9165,4.3,2019,2,February,2,Saturday
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6,2019,1,January,6,Sunday
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9,2019,2,February,11,Monday
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,6:17:00 PM,Ewallet,145.56,4.761904762,7.278,4.0,2019,3,March,5,Tuesday
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,6:21:00 PM,Cash,455.46,4.761904762,22.773,8.7,2019,3,March,9,Saturday
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4,2019,1,January,22,Tuesday
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4,2019,1,January,13,Sunday
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,2:20:00 PM,Credit card,441.36,4.761904762,22.068,8.6,2019,1,January,9,Wednesday
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7,2019,1,January,12,Saturday
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,4:24:00 PM,Ewallet,783.1,4.761904762,39.155,6.6,2019,3,March,5,Tuesday
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,6:56:00 PM,Cash,101.9,4.761904762,5.095,6.0,2019,1,January,22,Tuesday
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5,2019,1,January,21,Monday
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,7:56:00 PM,Ewallet,290.04,4.761904762,14.502,6.4,2019,1,January,26,Saturday
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.7,161.7,2019-01-23,6:37:00 PM,Ewallet,154.0,4.761904762,7.7,6.6,2019,1,January,23,Wednesday
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,6:45:00 PM,Credit card,321.44,4.761904762,16.072,8.3,2019,2,February,23,Saturday
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00 AM,Cash,244.55,4.761904762,12.2275,6.6,2019,3,March,9,Saturday
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4.0,2019,3,March,5,Tuesday
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00 AM,Cash,382.6,4.761904762,19.13,9.9,2019,3,March,25,Monday
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.283,362.943,2019-03-27,8:35:00 PM,Credit card,345.66,4.761904762,17.283,7.3,2019,3,March,27,Wednesday
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,4:57:00 PM,Cash,42.47,4.761904762,2.1235,5.7,2019,1,January,2,Wednesday
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,5:55:00 PM,Cash,461.94,4.761904762,23.097,6.1,2019,2,February,27,Wednesday
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00 AM,Cash,189.52,4.761904762,9.476,7.1,2019,1,January,23,Wednesday
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,7:54:00 PM,Ewallet,448.6,4.761904762,22.43,8.2,2019,1,January,26,Saturday
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,4:42:00 PM,Ewallet,153.86,4.761904762,7.693,5.1,2019,1,January,10,Thursday
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6,2019,3,March,12,Tuesday
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,8:05:00 PM,Credit card,89.75,4.761904762,4.4875,6.6,2019,2,February,6,Wednesday
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,8:38:00 PM,Ewallet,97.16,4.761904762,4.858,7.2,2019,3,March,8,Friday
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00 AM,Ewallet,878.7,4.761904762,43.935,5.1,2019,3,March,29,Friday
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,1:11:00 PM,Cash,74.7,4.761904762,3.735,4.1,2019,2,February,9,Saturday
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00 AM,Ewallet,158.25,4.761904762,7.9125,9.3,2019,3,March,23,Saturday
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,6:14:00 PM,Cash,496.2,4.761904762,24.81,7.4,2019,3,March,5,Tuesday
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,7:20:00 PM,Cash,48.71,4.761904762,2.4355,4.1,2019,3,March,26,Tuesday
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,1:22:00 PM,Cash,706.95,4.761904762,35.3475,7.2,2019,3,March,1,Friday
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00 AM,Cash,207.63,4.761904762,10.3815,4.9,2019,2,February,1,Friday
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.478,367.038,2019-03-28,4:44:00 PM,Cash,349.56,4.761904762,17.478,9.9,2019,3,March,28,Thursday
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,6:19:00 PM,Cash,212.45,4.761904762,10.6225,8.0,2019,3,March,19,Tuesday
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,2:50:00 PM,Ewallet,886.7,4.761904762,44.335,7.3,2019,1,January,12,Saturday
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,8:54:00 PM,Credit card,164.28,4.761904762,8.214,7.9,2019,1,January,5,Saturday
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.639,391.419,2019-03-22,8:19:00 PM,Cash,372.78,4.761904762,18.639,7.4,2019,3,March,22,Friday
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00 AM,Cash,305.82,4.761904762,15.291,4.2,2019,3,March,24,Sunday
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,2:30:00 PM,Cash,819.7,4.761904762,40.985,9.2,2019,3,March,3,Sunday
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00 AM,Ewallet,32.98,4.761904762,1.649,4.6,2019,2,February,5,Tuesday
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00 AM,Credit card,294.63,4.761904762,14.7315,7.8,2019,2,February,5,Tuesday
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00 PM,Cash,509.88,4.761904762,25.494,8.4,2019,2,February,15,Friday
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,8:07:00 PM,Ewallet,522.63,4.761904762,26.1315,4.3,2019,1,January,19,Saturday
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5,2019,2,February,1,Friday
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,1:01:00 PM,Credit card,81.06,4.761904762,4.053,7.1,2019,3,March,2,Saturday
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00 PM,Ewallet,109.7,4.761904762,5.485,5.3,2019,3,March,5,Tuesday
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,3:26:00 PM,Ewallet,51.36,4.761904762,2.568,5.2,2019,1,January,16,Wednesday
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,8:48:00 PM,Ewallet,109.6,4.761904762,5.48,6.0,2019,2,February,2,Saturday
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,8:38:00 PM,Ewallet,106.88,4.761904762,5.344,4.1,2019,1,January,20,Sunday
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,5:03:00 PM,Credit card,796.48,4.761904762,39.824,5.2,2019,2,February,14,Thursday
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00 PM,Credit card,399.84,4.761904762,19.992,6.5,2019,1,January,12,Saturday
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,5:26:00 PM,Credit card,899.64,4.761904762,44.982,4.2,2019,3,March,9,Saturday
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,7:52:00 PM,Credit card,511.28,4.761904762,25.564,4.6,2019,3,March,13,Wednesday
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,2:57:00 PM,Ewallet,451.76,4.761904762,22.588,7.3,2019,3,March,9,Saturday
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,6:44:00 PM,Credit card,655.83,4.761904762,32.7915,4.5,2019,3,March,10,Sunday
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,1:26:00 PM,Cash,161.25,4.761904762,8.0625,9.0,2019,1,January,27,Sunday
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,4:17:00 PM,Credit card,285.57,4.761904762,14.2785,5.9,2019,1,January,8,Tuesday
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,3:57:00 PM,Ewallet,548.32,4.761904762,27.416,8.5,2019,1,January,8,Tuesday
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00 AM,Ewallet,812.52,4.761904762,40.626,7.2,2019,2,February,8,Friday
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,1:18:00 PM,Cash,277.34,4.761904762,13.867,7.5,2019,1,January,25,Friday
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,8:34:00 PM,Cash,552.78,4.761904762,27.639,8.3,2019,3,March,6,Wednesday
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,6:36:00 PM,Cash,139.36,4.761904762,6.968,7.4,2019,2,February,10,Sunday
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,2:40:00 PM,Credit card,524.7,4.761904762,26.235,8.8,2019,2,February,17,Sunday
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3,2019,3,March,8,Friday
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,7:39:00 PM,Cash,270.66,4.761904762,13.533,6.2,2019,2,February,18,Monday
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,8:59:00 PM,Credit card,131.55,4.761904762,6.5775,8.8,2019,1,January,18,Friday
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,3:39:00 PM,Cash,206.52,4.761904762,10.326,9.8,2019,2,February,18,Monday
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00 PM,Cash,519.1,4.761904762,25.955,8.2,2019,2,February,16,Saturday
